iter	Passed	Remaining
409	4952	7017
410	4964	7006
411	4977	6994
412	4989	6982
413	5000	6969
414	5012	6957
415	5024	6945
416	5038	6934
417	5050	6923
418	5063	6912
419	5075	6900
420	5087	6887
421	5099	6875
422	5111	6864
423	5124	6853
424	5137	6841
425	5149	6829
426	5161	6817
427	5172	6804
428	5185	6793
429	5198	6781
430	5210	6769
431	5223	6758
432	5235	6746
433	5247	6734
434	5259	6722
435	5272	6711
436	5284	6699
437	5296	6686
438	5308	6674
439	5320	6662
440	5333	6651
441	5345	6638
442	5357	6626
443	5369	6615
444	5381	6602
445	5393	6590
446	5405	6578
447	5418	6566
448	5429	6554
449	5441	6542
450	5453	6530
451	5466	6518
452	5479	6507
453	5491	6495
454	5503	6483
455	5516	6471
456	5528	6459
457	5540	6448
458	5553	6436
459	5566	6425
460	5578	6413
461	5590	6401
462	5602	6388
463	5614	6376
464	5626	6364
465	5638	6352
466	5651	6340
467	5663	6328
468	5675	6316
469	5686	6303
470	5698	6291
471	5710	6279
472	5722	6267
473	5734	6254
474	5746	6242
475	5757	6229
476	5770	6218
477	5782	6205
478	5795	6194
479	5806	6181
480	5818	6169
481	5830	6157
482	5843	6145
483	5855	6133
484	5867	6121
485	5880	6110
486	5891	6097
487	5902	6084
488	5914	6072
489	5927	6060
490	5939	6048
491	5951	6036
492	5962	6023
493	5974	6010
494	5987	5999
495	5999	5987
496	6011	5974
497	6022	5962
498	6034	5949
499	6046	5937
500	6058	5925
501	6071	5914
502	6083	5902
503	6096	5890
504	6108	5878
505	6120	5866
506	6133	5855
507	6145	5842
508	6157	5830
509	6169	5818
510	6181	5806
511	6194	5794
512	6206	5782
513	6218	5770
514	6229	5758
515	6241	5745
516	6253	5733
517	6265	5721
518	6277	5709
519	6289	5697
520	6302	5685
521	6314	5673
522	6326	5660
523	6338	5649
524	6350	5636
525	6363	5625
526	6375	5613
527	6387	5600
528	6399	5589
529	6411	5576
530	6423	5564
531	6436	5553
532	6448	5540
533	6459	5528
534	6472	5516
535	6484	5504
536	6496	5491
537	6508	5480
538	6520	5468
539	6532	5455
540	6544	5443
541	6556	5431
542	6568	5419
543	6580	5406
544	6592	5394
545	6604	5382
546	6616	5370
547	6628	5358
548	6640	5345
549	6651	5333
550	6663	5321
551	6675	5308
552	6688	5297
553	6700	5285
554	6711	5272
555	6724	5260
556	6736	5248
557	6748	5236
558	6760	5224
559	6772	5212
560	6784	5200
561	6796	5188
562	6808	5176
563	6821	5164
564	6833	5152
565	6845	5139
566	6857	5127
567	6869	5115
568	6881	5103
569	6894	5092
