iter	RMSE
218	0.5659342024
219	0.5651606911
220	0.5644355948
221	0.5639418796
222	0.5635242439
223	0.5630584356
224	0.5626711223
225	0.5622111114
226	0.561508716
227	0.5608073821
228	0.5603516941
229	0.5596461816
230	0.5593598728
231	0.5589850686
232	0.5583476762
233	0.5576346162
234	0.5571418907
235	0.5563636912
236	0.555738093
237	0.5551805218
238	0.5548294084
239	0.5544544184
240	0.5538623645
241	0.5532758386
242	0.552840528
243	0.5525257625
244	0.5521448136
245	0.5516214361
246	0.5513009924
247	0.5507347322
248	0.5504197373
249	0.5498142899
250	0.5494289266
251	0.548997114
252	0.5487267661
253	0.5481940713
254	0.547850729
255	0.5474634188
256	0.5469500757
257	0.54661816
258	0.5459030341
259	0.5455603026
260	0.5451856348
261	0.5447876731
262	0.544375039
263	0.5440156652
264	0.5436389263
265	0.5431976759
266	0.5426894999
267	0.5420615673
268	0.5418318092
269	0.541372789
270	0.5407313834
271	0.5402732879
272	0.5399259968
273	0.5393662031
274	0.5390239691
275	0.5386231805
276	0.5381908745
277	0.5378123857
278	0.537491612
279	0.5371796979
280	0.5368978933
281	0.536455013
282	0.5361632605
283	0.5357548225
284	0.5350768361
285	0.5345335546
286	0.5341598262
287	0.533886082
288	0.5333097444
289	0.5330138162
290	0.5326762815
291	0.5324135289
292	0.5317935218
293	0.5315116422
294	0.5310011089
295	0.5306345412
296	0.530224056
297	0.5300595969
298	0.5296943812
299	0.5293785556
300	0.5289976067
301	0.5285213152
302	0.5280932811
303	0.5277889884
304	0.5273610369
305	0.5269265284
306	0.5265711906
307	0.5263281962
308	0.5258605574
309	0.5255011058
310	0.5249764122
311	0.5247550894
312	0.5244457439
313	0.5240378105
314	0.5237404734
315	0.5232970118
316	0.5228633357
317	0.5224938517
318	0.5222625253
319	0.5218242266
320	0.521312605
321	0.5208467931
322	0.52053313
323	0.5202426909
324	0.5196229544
325	0.5192720182
326	0.5187390334
327	0.5183881489
328	0.5179429268
329	0.5175583116
330	0.5173378856
331	0.5169391411
332	0.5165841548
333	0.5163274645
334	0.5159836202
335	0.5157272747
336	0.5154369728
337	0.5150100173
338	0.5146249963
339	0.514141287
340	0.5139114675
341	0.5132499928
342	0.5129309549
343	0.5126874817
344	0.5123643062
345	0.512119158
346	0.5118513483
347	0.5115537853
348	0.5113044587
349	0.5110574391
350	0.510650535
351	0.5102900242
352	0.5100539277
353	0.5096842123
354	0.509428496
355	0.509130122
356	0.5087537735
357	0.5085501602
358	0.5082382776
359	0.507982491
360	0.5076285362
361	0.5073824606
362	0.5070409946
363	0.5067577832
364	0.5064023969
365	0.506062222
366	0.5057386471
367	0.505366728
368	0.5050684508
369	0.5046798443
370	0.5043968244
371	0.5038922641
372	0.5035545977
373	0.5032302822
374	0.5029121067
375	0.5026613162
376	0.5023944477
377	0.5018804005
378	0.5015980915
379	0.5011961587
380	0.5009614441
381	0.5006971848
382	0.5003589417
383	0.4999948481
384	0.4996488473
385	0.4993132548
386	0.4987805583
387	0.4984332275
388	0.4980818056
389	0.4976397593
390	0.4973503795
391	0.4970259835
392	0.4967667527
393	0.4963858772
394	0.4961287966
395	0.495854931
396	0.4955802761
397	0.4953455803
398	0.4949607855
399	0.4947196262
400	0.4944644741
401	0.4941458443
402	0.4938157217
403	0.4935154479
404	0.4931993683
405	0.4929185121
406	0.4922391393
407	0.4919885605
408	0.49179386
409	0.4914564624
410	0.4911681189
411	0.4908553294
412	0.4906675428
413	0.4903207639
414	0.4898681802
415	0.489442384
416	0.4890886666
417	0.4887725085
418	0.4884693364
419	0.4881604664
420	0.4878641493
421	0.4875523972
422	0.4873458634
423	0.4871354232
424	0.4869294623
425	0.4865525003
426	0.4862492545
427	0.4859773437
428	0.485730084
429	0.4854215073
430	0.4850512666
431	0.4847594865
432	0.4845576259
433	0.4843247903
434	0.4840621341
435	0.4838265617
436	0.4834903006
437	0.4830712952
438	0.4827600675
439	0.4823583273
440	0.4821475407
441	0.4818607327
442	0.4817114382
443	0.4814153921
444	0.4810945155
445	0.4809519771
446	0.4806211183
447	0.4803133485
448	0.4800067484
449	0.479816902
450	0.4795949992
451	0.4793851397
452	0.4790292036
453	0.4787240618
454	0.4783054827
455	0.4780803931
456	0.4778381534
457	0.4775025925
458	0.4771287475
459	0.476804422
460	0.4765150442
461	0.4762607812
462	0.4760068115
463	0.4757944444
464	0.4754016163
465	0.4749957943
466	0.4747052592
467	0.4744995973
468	0.4741789188
469	0.4739391138
470	0.4736267289
471	0.4732109025
472	0.4729160127
473	0.4726066041
474	0.4722615901
475	0.4718145228
476	0.4716529928
477	0.4714008836
478	0.4711229805
479	0.4708868748
480	0.4706458416
481	0.4703587194
482	0.4700371117
483	0.4698005492
484	0.4695594365
485	0.4692895545
486	0.4689975041
487	0.4687284175
488	0.4685420057
489	0.468344898
490	0.4680602953
491	0.4677473301
492	0.4674091798
493	0.4671350032
494	0.4669814968
495	0.4668347648
496	0.4665003879
497	0.4662236295
498	0.4660474719
499	0.4658167735
500	0.4655661025
501	0.4652980243
502	0.4651222751
503	0.4649059625
504	0.4646237172
505	0.4643899416
506	0.463945333
507	0.4636759337
508	0.4633780553
509	0.4629510183
510	0.4627428902
511	0.462484819
512	0.4621591748
513	0.461902767
514	0.4615464081
515	0.4614295043
516	0.4610887867
517	0.4608347367
518	0.4605677426
519	0.460356118
520	0.460134263
521	0.4598456029
522	0.4595904925
523	0.4592740549
524	0.4589657001
525	0.4588069604
526	0.4586081952
527	0.4582721411
528	0.4579407153
529	0.457690302
530	0.457350781
531	0.4570498074
532	0.4567736521
533	0.4564238967
534	0.456175605
535	0.4558785298
536	0.4555969694
537	0.4552407549
538	0.4550377584
539	0.4548537339
540	0.4546971191
541	0.454494379
542	0.454266931
543	0.4539553165
544	0.4536688897
545	0.4535018833
546	0.4532423727
547	0.453034523
548	0.4527118533
549	0.4525008972
550	0.4522799506
551	0.4518883258
552	0.4517297693
553	0.451608849
554	0.4513199302
555	0.4510355836
556	0.4506451769
557	0.4504439529
558	0.4501947263
559	0.4500492097
560	0.4498679816
561	0.4495547103
562	0.4491925366
563	0.4490273826
564	0.4486534892
565	0.4484860517
566	0.448296437
567	0.4481132823
568	0.447820273
569	0.4476658055
